,llama3,mistral,phi
name,1.0,0.75,0.375
email,1.0,0.7441860465116279,0.7380884855360181
phone,0.9833333333333334,0.75,0.75
education,0.9185294117647059,0.7435714285714285,0.7429166666666667
experience,0.468125,0.3602840909090909,0.375
skills,0.7440069812998151,0.4242352389673818,0.381023277717372
overall,0.8116659610112283,0.5887485182891121,0.5238980013162782
